iv.Model,iv.CC,iv.CL,iv.CS,iv.CAS,iv.Q1,iv.Q2,iv.Q3,iv.Q4,iv.Q5.R1,iv.Q5.R2,iv.Q5.R3,iv.Q5.R4,iv.Q5.R5,iv.Q5.R6,iv.Q5.Text,iv.w.CasePlan,iv.w.Stage,iv.w.DStage,iv.w.PlanFrag,iv.w.CFileItem,iv.w.Task,iv.w.DTask,iv.w.NBHTask,iv.w.ProcTask,iv.w.CaseTasknim,iv.w.CaseTask,iv.w.BHTask,iv.w.Event,iv.w.UserEvent,iv.w.TimerEvent,iv.w.Milestone,iv.w.Connector,iv.w.HumanIcon,iv.w.CPlanningT,iv.w.EPlanningT,iv.w.AComplete,iv.w.Collapsed,iv.w.Expanded,iv.w.ManualA,iv.w.Repetition,iv.w.Required,iv.w.EntryCritWC,iv.w.EntryCrit,iv.w.ExitCritWC,iv.w.ExitCrit,iv.w.EntryCritAND,iv.w.EntryCritOR,iv.w.ExitCritAND,iv.w.ExitCritOR,iv.CAS.SE,iv.CAS.SX,iv.CAS.MH,iv.CAS.MP,iv.CAS.MC,iv.CAS.MT
1,72,2,44,46,5,2,1,1,2,2,1,1,2,2,"Z,AA",4,5,0,0,8,10,0,1,0,1,1,7,0,0,0,5,12,7,4,0,7,5,0,5,3,5,3,0,4,0,2,0,2,1,3,4,1,0,2,0
2,82,5,36,54,5,1,1,2,2,2,2,2,2,1,None,1,5,1,1,1,7,5,2,1,0,1,8,1,0,1,1,13,8,3,2,5,4,3,2,8,0,8,2,3,1,0,0,0,0,10,4,2,1,1,1
3,87,5,42,48,4,1,2,2,1,2,2,2,2,2,E,1,9,7,0,4,6,1,0,0,0,0,7,1,1,0,5,8,8,0,4,2,10,6,5,2,2,2,0,3,4,0,0,1,0,2,7,0,0,0,0
4,96,4,40,50,16,1,2,2,2,2,1,2,2,2,DD,1,4,4,1,4,2,11,0,2,0,1,10,2,0,2,5,6,10,2,3,3,3,6,3,2,2,4,5,2,0,0,0,0,0,9,2,0,2,1,2
5,102,4,45,45,7,2,2,1,1,2,2,1,1,2,"P,W,EE",3,0,2,1,4,3,8,7,0,4,0,0,7,3,4,5,12,3,2,2,2,1,2,1,1,2,9,1,0,4,2,1,0,0,10,4,7,0,4,4
6,114,4,37,53,5,2,1,1,2,2,2,2,2,1,None,1,1,8,0,1,5,10,10,0,0,0,5,2,1,1,3,6,6,4,6,2,0,9,3,2,3,2,1,0,4,1,0,0,0,3,4,10,0,0,1
